0,PermitNo,DayOfWeek,Date,StartTime,EndTime,TotalHours,Event,Field,Park,FieldInPark,Group,YorA,IntOrExt
1,3994,Wednesday,28-Feb-18,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
2,3672,Monday,5-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
3,3672,Monday,5-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
4,3672,Tuesday,6-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
5,3672,Tuesday,6-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
6,3672,Wednesday,7-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
7,3672,Wednesday,7-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
8,3672,Thursday,8-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
9,3672,Thursday,8-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
10,3672,Friday,9-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
11,3672,Friday,9-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
12,3672,Saturday,10-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
13,3672,Saturday,10-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
14,3672,Sunday,11-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
15,3672,Sunday,11-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
16,3672,Monday,12-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
17,3672,Monday,12-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
18,3994,Monday,12-Mar-18,20,22,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
19,3672,Tuesday,13-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
20,3672,Tuesday,13-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
21,3672,Wednesday,14-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
22,3672,Wednesday,14-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
23,3672,Thursday,15-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
24,3672,Thursday,15-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
25,3672,Friday,16-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
26,3672,Friday,16-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
27,3672,Saturday,17-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
28,3672,Saturday,17-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
29,3672,Sunday,18-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
30,3672,Sunday,18-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
31,3672,Monday,19-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
32,3580,Monday,19-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
33,3672,Monday,19-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
34,3672,Tuesday,20-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
35,3580,Tuesday,20-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
36,3672,Tuesday,20-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
37,3672,Wednesday,21-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
38,3994,Wednesday,21-Mar-18,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
39,3580,Wednesday,21-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
40,3672,Wednesday,21-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
41,3672,Thursday,22-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
42,3580,Thursday,22-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
43,3672,Thursday,22-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
44,3672,Friday,23-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
45,3580,Friday,23-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
46,3672,Friday,23-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
47,3672,Saturday,24-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
48,3672,Saturday,24-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
49,3672,Sunday,25-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
50,3672,Sunday,25-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
51,3672,Monday,26-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
52,3580,Monday,26-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
53,3672,Monday,26-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
54,3672,Tuesday,27-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
55,3580,Tuesday,27-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
56,3672,Tuesday,27-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
57,3672,Wednesday,28-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
58,3994,Wednesday,28-Mar-18,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
59,3580,Wednesday,28-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
60,3672,Wednesday,28-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
61,3672,Thursday,29-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
62,3580,Thursday,29-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
63,3672,Thursday,29-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
64,3672,Friday,30-Mar-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
65,3580,Friday,30-Mar-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
66,3672,Friday,30-Mar-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
67,3672,Saturday,31-Mar-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
68,3672,Saturday,31-Mar-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
69,3672,Sunday,1-Apr-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
70,3672,Sunday,1-Apr-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
71,3580,Monday,2-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
72,3672,Monday,2-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
73,3580,Monday,2-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
74,3672,Monday,2-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
75,3580,Monday,2-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
76,4650,Monday,2-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
77,4650,Monday,2-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
78,4650,Monday,2-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
79,3580,Tuesday,3-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
80,3672,Tuesday,3-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
81,3580,Tuesday,3-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
82,3672,Tuesday,3-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
83,3580,Tuesday,3-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
84,4650,Tuesday,3-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
85,4650,Tuesday,3-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
86,4650,Tuesday,3-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
87,3580,Wednesday,4-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
88,3672,Wednesday,4-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
89,3994,Wednesday,4-Apr-18,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Oneida FC Soccer #3994,Adult Athletics,External Reservation
90,3580,Wednesday,4-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
91,3672,Wednesday,4-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
92,3580,Wednesday,4-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
93,4650,Wednesday,4-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
94,4650,Wednesday,4-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
95,4650,Wednesday,4-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
96,3580,Thursday,5-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
97,3672,Thursday,5-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
98,3580,Thursday,5-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
99,3672,Thursday,5-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
100,3580,Thursday,5-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
101,4650,Thursday,5-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
102,4650,Thursday,5-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
103,4650,Thursday,5-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
104,3580,Friday,6-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
105,3672,Friday,6-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
106,3580,Friday,6-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
107,3672,Friday,6-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
108,3580,Friday,6-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
109,4650,Friday,6-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
110,4650,Friday,6-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
111,4650,Friday,6-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
112,3665,Saturday,7-Apr-18,8,14,6,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",youth softball #3665,Youth Athletics,External Reservation
113,3672,Saturday,7-Apr-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
114,3672,Saturday,7-Apr-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
115,4650,Saturday,7-Apr-18,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
116,4650,Saturday,7-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
117,4650,Saturday,7-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
118,4650,Saturday,7-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
119,3672,Sunday,8-Apr-18,8,20,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
120,3672,Sunday,8-Apr-18,8,20,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
121,4650,Sunday,8-Apr-18,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
122,4650,Sunday,8-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
123,4650,Sunday,8-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
124,4650,Sunday,8-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
125,3580,Monday,9-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
126,3672,Monday,9-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
127,3580,Monday,9-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
128,3672,Monday,9-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
129,3580,Monday,9-Apr-18,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High School,Youth Athletics,Internal Reservation
130,4650,Monday,9-Apr-18,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
131,4650,Monday,9-Apr-18,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
132,4650,Monday,9-Apr-18,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown Little League #4650,Youth Athletics,External Reservation
133,3580,Tuesday,10-Apr-18,14,18,4,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Charlestown High School,Youth Athletics,Internal Reservation
134,3672,Tuesday,10-Apr-18,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
135,3580,Tuesday,10-Apr-18,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High School,Youth Athletics,Internal Reservation
136,3672,Tuesday,10-Apr-18,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown Sports Collaborative,Youth Athletics,Internal Reservation
